title,tokens,avgSentLength,ttr,adjectives,adverbs,nrSyllables,fk
eagleton-1992,7581,38.095477386934675,0.473,0.10143780503891307,0.06344809391900805,10619,15.795952709067034
eagleton-2009,6859,37.27717391304348,0.474,0.10088934246974778,0.06079603440734801,9823,15.847266801156213
eagleton-2018a,3656,28.5625,0.453,0.08698030634573305,0.06564551422319474,5015,11.735644146608319
eagleton-2018b,3024,30.545454545454547,0.445,0.07804232804232804,0.052248677248677246,4005,11.950703463203464
eagleton-2019,4011,27.285714285714285,0.513,0.09174769384193468,0.03989030167040638,5582,11.47316878583894
eargleton-1988,5568,35.69230769230769,0.474,0.1271551724137931,0.06160201149425287,8538,16.42418103448276
eargleton-1998,2320,39.32203389830509,0.458,0.10344827586206896,0.05560344827586207,3222,16.133351841028638
Moretti-1994,12965,28.620309050772626,0.448,0.100578480524489,0.04913227921326649,17797,11.769730016881926
moretti-2000,4400,29.72972972972973,0.381,0.10340909090909091,0.06227272727272727,5846,11.682503685503686
moretti-2000b,1771,26.833333333333332,0.446,0.09316770186335403,0.048560135516657256,2192,9.480081874647095
moretti-2001,6354,22.692857142857143,0.449,0.08278249921309411,0.058703179099779665,7890,7.912716646431942
moretti-2003,6242,31.366834170854272,0.45,0.10157000961230375,0.059115668055110544,8188,12.12182213534832
Moretti-2015,1425,21.59090909090909,0.412,0.08280701754385965,0.04631578947368421,1766,7.454173843700161
moretti-2017,7010,26.254681647940075,0.441,0.08302425106990015,0.04693295292439372,9341,10.373120421869242
moretti-2019,5803,26.257918552036198,0.436,0.09391693951404446,0.043081164914699294,7745,10.399511206171251
moretti-2020,4320,34.83870967741935,0.438,0.09560185185185185,0.044675925925925924,6023,14.448809737156513
vanderWeel-2000,4484,28.929032258064517,0.43,0.09210526315789473,0.04817127564674398,6174,11.939691001697796
vanDerWeel-2002,5134,25.798994974874372,0.429,0.06875730424620179,0.036618620958317104,6845,10.20417523926606
vanDerWeel-2013a,1674,22.931506849315067,0.458,0.13381123058542413,0.010752688172043012,2603,11.701794242320094
vanDerWeel-2015,4223,34.333333333333336,0.45,0.10490172862893678,0.05043807719630594,6406,15.69978688136396
vanDerWeel-2016,2417,26.855555555555554,0.46,0.10012412081092263,0.06412908564335953,3465,11.800091987312097
